filepath,label
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,neutral
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,neutral
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,neutral
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,neutral
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,calm
C:\Users\rishi\Downloads\Batch 21 project\Wav2vec\audio datasets\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,happy
